City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Olga,RU,2020-09-07 19:52:58,43.74,135.29,69.01,94,100,4.54
144,Oyem,GA,2020-09-07 19:52:59,1.6,11.58,68.27,98,100,2.84
145,Zemio,CF,2020-09-07 19:52:59,5.03,25.14,70.2,96,100,1.66
146,Yar-Sale,RU,2020-09-07 19:52:59,66.83,70.83,48.09,65,100,10.8
147,Zhanaozen,KZ,2020-09-07 19:53:00,43.3,52.8,70.23,21,100,14.29
148,Vardo,NO,2020-09-07 19:53:01,70.37,31.11,50.0,93,75,9.17
149,Ulladulla,AU,2020-09-07 19:53:01,-35.35,150.47,48.99,100,0,4.7
150,Carnarvon,AU,2020-09-07 19:53:02,-24.87,113.63,62.6,100,40,11.41
151,West Bay,KY,2020-09-07 19:53:02,19.37,-81.42,82.4,100,75,8.05
152,Sawtell,AU,2020-09-07 19:53:03,-30.38,153.1,59.0,87,90,5.82
153,Iskateley,RU,2020-09-07 19:53:04,67.68,53.15,53.46,92,100,6.58
154,Yellowknife,CA,2020-09-07 19:52:45,62.46,-114.35,53.01,43,40,12.75
155,Cabedelo,BR,2020-09-07 19:53:05,-6.98,-34.83,80.6,65,20,14.99
156,Midland,US,2020-09-07 19:53:06,32.0,-102.08,91.4,29,1,10.29
157,Tezu,IN,2020-09-07 19:53:07,27.92,96.17,74.86,83,100,1.32
158,Lebu,CL,2020-09-07 19:53:07,-37.62,-73.65,53.56,72,21,8.68
159,Davila,PH,2020-09-07 19:53:07,18.47,120.58,80.91,79,99,4.65
160,San Vicente,AR,2020-09-07 19:53:08,-26.62,-54.13,64.8,86,100,3.27
161,Burns Lake,CA,2020-09-07 19:53:08,54.23,-125.75,63.36,31,0,3.27
162,Garowe,SO,2020-09-07 19:53:09,8.41,48.48,76.82,63,100,20.36
163,Isangel,VU,2020-09-07 19:53:09,-19.55,169.27,71.6,88,90,10.2
164,Husavik,IS,2020-09-07 19:53:10,66.04,-17.34,44.6,65,75,10.29
165,Mar Del Plata,AR,2020-09-07 19:48:21,-38.0,-57.56,53.6,71,0,12.75
166,Chippewa Falls,US,2020-09-07 19:53:10,44.94,-91.39,59.0,54,90,5.82
167,Kutum,SD,2020-09-07 19:53:11,14.2,24.67,78.73,59,0,11.74
168,Sakaraha,MG,2020-09-07 19:53:11,-22.9,44.53,62.49,45,0,2.19
169,Santa Ana,US,2020-09-07 19:51:10,33.75,-117.87,82.4,58,90,17.22
170,Nouakchott,MR,2020-09-07 19:53:12,18.09,-15.98,86.0,74,75,12.75
171,Diego De Almagro,CL,2020-09-07 19:53:12,-26.37,-70.05,77.22,17,0,11.5
172,Chenghai,CN,2020-09-07 19:53:13,23.46,116.77,77.0,94,75,4.47
173,Ostrovnoy,RU,2020-09-07 19:53:13,68.05,39.51,51.89,84,93,12.68
174,Faanui,PF,2020-09-07 19:53:14,-16.48,-151.75,77.23,81,18,16.24
175,Anlu,CN,2020-09-07 19:53:14,31.17,112.58,72.82,82,15,5.17
176,Dolinsk,RU,2020-09-07 19:53:15,47.35,142.8,62.6,93,75,13.42
177,Tura,IN,2020-09-07 19:53:16,25.52,90.22,74.77,95,100,4.56
178,Margate,GB,2020-09-07 19:49:55,51.38,1.39,64.0,70,97,1.99
179,Ancud,CL,2020-09-07 19:53:16,-41.87,-73.82,54.0,78,100,3.0
180,Lagoa,PT,2020-09-07 19:53:17,39.05,-27.98,70.23,78,0,21.3
181,Tumaco,CO,2020-09-07 19:53:17,1.8,-78.82,80.46,75,80,15.08
182,Kamiiso,JP,2020-09-07 19:53:18,41.82,140.65,73.02,86,7,0.34
183,Mufumbwe,ZM,2020-09-07 19:53:18,-13.68,24.8,61.29,29,0,4.83
184,Pisco,PE,2020-09-07 19:53:19,-13.7,-76.22,66.99,77,8,9.17
185,Constitucion,CL,2020-09-07 19:53:19,-35.33,-72.42,55.78,70,100,10.31
186,Nova Olimpia,BR,2020-09-07 19:53:19,-14.8,-57.29,103.37,10,0,4.54
187,Atagay,RU,2020-09-07 19:53:20,55.1,99.39,51.04,94,100,8.79
188,Bonthe,SL,2020-09-07 19:53:20,7.53,-12.51,77.32,87,100,8.79
189,Gondanglegi,ID,2020-09-07 19:53:21,-7.75,112.01,75.02,84,26,11.48
190,Nanortalik,GL,2020-09-07 19:53:21,60.14,-45.24,43.29,75,1,19.77
191,Meulaboh,ID,2020-09-07 19:53:22,4.14,96.13,77.81,85,100,2.84
192,Siguiri,GN,2020-09-07 19:53:22,11.67,-9.5,72.32,91,21,0.92
193,Kerman,IR,2020-09-07 19:53:23,30.28,57.08,71.6,17,0,4.7
194,Ouadda,CF,2020-09-07 19:53:24,8.08,22.4,68.34,95,98,3.47
195,Chernyshevskiy,RU,2020-09-07 19:53:24,63.01,112.47,43.81,97,100,6.91
196,Half Moon Bay,US,2020-09-07 19:53:26,37.46,-122.43,99.0,68,1,12.75
197,Golden,US,2020-09-07 19:50:44,39.76,-105.22,91.0,13,0,1.01
198,Portland,US,2020-09-07 19:53:27,45.52,-122.68,82.0,53,75,13.87
199,Arlit,NE,2020-09-07 19:53:27,18.74,7.39,91.26,29,79,18.5
200,Marystown,CA,2020-09-07 19:53:28,47.17,-55.15,66.0,100,0,5.3
201,Pacific Grove,US,2020-09-07 19:51:37,36.62,-121.92,102.0,50,1,5.82
202,Belyy Yar,RU,2020-09-07 19:53:28,53.6,91.39,44.6,93,20,2.24
203,Sterling,US,2020-09-07 19:50:40,39.01,-77.43,84.0,45,1,5.82
204,Saint George,US,2020-09-07 19:50:12,37.1,-113.58,97.0,9,1,4.7
205,Kozan,TR,2020-09-07 19:53:29,37.46,35.82,84.0,83,0,3.36
206,Adrar,MR,2020-09-07 19:53:29,20.5,-10.07,99.25,15,14,5.01
207,Saint-Augustin,CA,2020-09-07 19:53:30,51.23,-58.65,61.5,53,15,16.55
208,Mackay,AU,2020-09-07 19:53:30,-21.15,149.2,66.0,93,75,8.05
209,Hilo,US,2020-09-07 19:50:53,19.73,-155.09,84.2,62,1,6.93
210,Amarillo,US,2020-09-07 19:53:31,35.22,-101.83,93.0,27,1,16.11
211,Lipin Bor,RU,2020-09-07 19:53:31,60.26,37.98,56.21,86,100,5.99
212,Palmer,US,2020-09-07 19:53:32,42.16,-72.33,81.0,42,75,11.41
213,Vanimo,PG,2020-09-07 19:53:32,-2.67,141.3,77.34,86,7,7.07
214,Terney,RU,2020-09-07 19:53:32,45.05,136.61,62.55,88,100,11.23
215,Salekhard,RU,2020-09-07 19:53:33,66.53,66.6,49.15,58,100,7.99
216,Uchiza,PE,2020-09-07 19:53:33,-8.46,-76.46,87.46,48,52,2.42
217,New Norfolk,AU,2020-09-07 19:53:34,-42.78,147.06,59.0,58,100,5.82
218,Iqaluit,CA,2020-09-07 19:53:34,63.75,-68.51,42.8,75,20,4.7
219,Hasaki,JP,2020-09-07 19:53:34,35.73,140.83,79.0,94,20,6.93
220,Imbituba,BR,2020-09-07 19:53:35,-28.24,-48.67,64.4,88,75,2.24
221,Chipurupalle,IN,2020-09-07 19:53:35,18.3,83.57,79.36,90,46,4.54
222,Leningradskiy,RU,2020-09-07 19:53:35,69.38,178.42,39.76,78,0,11.14
223,Hailar,CN,2020-09-07 19:53:36,49.2,119.7,52.74,91,100,5.91
224,Ugoofaaru,MV,2020-09-07 19:53:36,5.67,73.0,82.53,79,100,16.02
225,Fort Abbas,PK,2020-09-07 19:53:37,29.19,72.85,92.8,36,0,1.45
226,Te Anau,NZ,2020-09-07 19:53:37,-45.42,167.72,40.42,85,27,2.89
227,Sao Mateus Do Sul,BR,2020-09-07 19:53:37,-25.87,-50.38,77.11,54,75,2.44
228,Ahipara,NZ,2020-09-07 19:53:38,-35.17,173.17,50.18,78,0,5.7
229,Hualmay,PE,2020-09-07 19:53:38,-11.1,-77.61,65.16,67,19,11.1
230,Muros,ES,2020-09-07 19:53:39,42.78,-9.06,72.0,60,42,7.0
231,Xining,CN,2020-09-07 19:51:45,36.62,101.77,54.39,66,53,1.54
232,Itarema,BR,2020-09-07 19:53:39,-2.92,-39.92,80.44,68,55,18.3
233,Shama,CN,2020-09-07 19:53:40,33.61,104.29,59.02,76,100,3.27
234,Chuy,UY,2020-09-07 19:53:40,-33.7,-53.46,56.17,73,93,8.93
235,Willowmore,ZA,2020-09-07 19:53:41,-33.29,23.49,57.16,62,0,10.38
236,Katubao,PH,2020-09-07 19:53:41,5.89,124.83,80.17,72,100,4.07
237,Urucara,BR,2020-09-07 19:53:41,-2.54,-57.76,92.46,40,96,8.43
238,Trapani,IT,2020-09-07 19:53:42,37.83,12.67,80.6,78,20,4.7
239,Pangnirtung,CA,2020-09-07 19:53:42,66.15,-65.71,44.6,60,20,11.41
240,Nabire,ID,2020-09-07 19:53:43,-3.37,135.48,75.65,88,100,3.4
241,Mount Gambier,AU,2020-09-07 19:53:44,-37.83,140.77,62.6,48,90,12.75
242,Eureka,US,2020-09-07 19:52:22,40.8,-124.16,72.0,68,1,5.82
243,Hopelchen,MX,2020-09-07 19:53:45,19.77,-89.85,87.8,66,40,5.82
244,Henties Bay,NA,2020-09-07 19:53:46,-22.12,14.28,55.0,92,0,1.99
245,Komsomolskiy,UZ,2020-09-07 19:53:46,40.43,71.72,64.4,42,22,4.7
246,Yulara,AU,2020-09-07 19:53:47,-25.24,130.99,62.6,29,0,6.96
247,Cherskiy,RU,2020-09-07 19:53:48,68.75,161.3,39.29,79,18,11.86
248,Buin,CL,2020-09-07 19:53:48,-33.73,-70.75,71.01,32,46,4.7
249,Saint-Leu,RE,2020-09-07 19:53:48,-21.15,55.28,69.8,100,90,20.8
250,Bara,NG,2020-09-07 19:53:49,10.37,10.73,77.74,82,100,1.99
251,Matay,EG,2020-09-07 19:53:49,28.42,30.78,85.87,39,0,15.77
252,Yuksekova,TR,2020-09-07 19:53:50,37.57,44.29,69.8,30,0,6.93
253,Virginia Beach,US,2020-09-07 19:50:08,36.85,-75.98,81.0,70,97,3.0
254,Novikovo,RU,2020-09-07 19:53:50,51.15,37.89,64.24,34,0,6.76
255,Kruisfontein,ZA,2020-09-07 19:53:51,-34.0,24.73,60.01,88,0,1.99
